StockUnit{open=12,8400, high=12,8400, low=12,8400, close=12,8400, adjustedClose=0,0, volume=47128586,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:48.273, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8400, high=12,8400, low=12,8400, close=12,8400, adjustedClose=0,0, volume=47128586,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:46:48.273, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8700, high=12,8700, low=12,8700, close=12,8700, adjustedClose=0,0, volume=47129004,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:04.815, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8700, high=12,8700, low=12,8700, close=12,8700, adjustedClose=0,0, volume=47129004,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:04.815, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47136879,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:14.425, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47136879,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:14.425, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8720, high=12,8720, low=12,8720, close=12,8720, adjustedClose=0,0, volume=47140337,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:24.349, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8720, high=12,8720, low=12,8720, close=12,8720, adjustedClose=0,0, volume=47140337,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:24.349, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8704, high=12,8704, low=12,8704, close=12,8704, adjustedClose=0,0, volume=47140558,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:31.224, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8704, high=12,8704, low=12,8704, close=12,8704, adjustedClose=0,0, volume=47140558,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:31.224, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8704, high=12,8704, low=12,8704, close=12,8704, adjustedClose=0,0, volume=47140558,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:31.224, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47141361,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:49.773, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47141361,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:49.773, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8900, high=12,8900, low=12,8900, close=12,8900, adjustedClose=0,0, volume=47141874,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:59.122, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8900, high=12,8900, low=12,8900, close=12,8900, adjustedClose=0,0, volume=47141874,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:47:59.122, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8898, high=12,8898, low=12,8898, close=12,8898, adjustedClose=0,0, volume=47142739,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:03.239, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8898, high=12,8898, low=12,8898, close=12,8898, adjustedClose=0,0, volume=47142739,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:03.239, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47143030,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:18.182, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47143030,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:18.182, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47143030,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:18.182, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8700, high=12,8700, low=12,8700, close=12,8700, adjustedClose=0,0, volume=47144590,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:31.377, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8700, high=12,8700, low=12,8700, close=12,8700, adjustedClose=0,0, volume=47144590,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:31.377, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8700, high=12,8700, low=12,8700, close=12,8700, adjustedClose=0,0, volume=47144590,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:31.377, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47145636,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:47.799, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47145636,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:47.799, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47145869,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:58.661, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8800, high=12,8800, low=12,8800, close=12,8800, adjustedClose=0,0, volume=47145869,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:58.661, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8803, high=12,8803, low=12,8803, close=12,8803, adjustedClose=0,0, volume=47146019,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:14.399, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8803, high=12,8803, low=12,8803, close=12,8803, adjustedClose=0,0, volume=47146019,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:14.399, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8998, high=12,8998, low=12,8998, close=12,8998, adjustedClose=0,0, volume=47146457,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:22.905, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8998, high=12,8998, low=12,8998, close=12,8998, adjustedClose=0,0, volume=47146457,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:22.905, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8998, high=12,8998, low=12,8998, close=12,8998, adjustedClose=0,0, volume=47146457,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:22.905, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47151963,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:38.552, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47151963,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:38.552, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8900, high=12,8900, low=12,8900, close=12,8900, adjustedClose=0,0, volume=47164157,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:48.028, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8900, high=12,8900, low=12,8900, close=12,8900, adjustedClose=0,0, volume=47164157,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:48.028, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8900, high=12,8900, low=12,8900, close=12,8900, adjustedClose=0,0, volume=47164960,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:55.696, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47168084,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:07.160, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8200, high=12,8200, low=12,8200, close=12,8200, adjustedClose=0,0, volume=47168084,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:07.160, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8117, high=12,8117, low=12,8117, close=12,8117, adjustedClose=0,0, volume=47169158,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:18.879, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8117, high=12,8117, low=12,8117, close=12,8117, adjustedClose=0,0, volume=47169158,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:18.879, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8117, high=12,8117, low=12,8117, close=12,8117, adjustedClose=0,0, volume=47169158,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:18.879, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8117, high=12,8117, low=12,8117, close=12,8117, adjustedClose=0,0, volume=47169158,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:18.879, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8587, high=12,8587, low=12,8587, close=12,8587, adjustedClose=0,0, volume=47171076,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:35.213, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8587, high=12,8587, low=12,8587, close=12,8587, adjustedClose=0,0, volume=47171076,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:35.213, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8400, high=12,8400, low=12,8400, close=12,8400, adjustedClose=0,0, volume=47171398,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:49.425, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8400, high=12,8400, low=12,8400, close=12,8400, adjustedClose=0,0, volume=47171398,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:49.425, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47172523,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:53.859, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47172523,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:53.859, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47177152,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:08.377, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8300, high=12,8300, low=12,8300, close=12,8300, adjustedClose=0,0, volume=47177152,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:08.377, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8100, high=12,8100, low=12,8100, close=12,8100, adjustedClose=0,0, volume=47184357,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:19.284, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8100, high=12,8100, low=12,8100, close=12,8100, adjustedClose=0,0, volume=47184357,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:19.284, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47197215,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:28.374, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,9000, high=12,9000, low=12,9000, close=12,9000, adjustedClose=0,0, volume=47197215,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:28.374, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8501, high=12,8501, low=12,8501, close=12,8501, adjustedClose=0,0, volume=47198582,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:36.478, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8501, high=12,8501, low=12,8501, close=12,8501, adjustedClose=0,0, volume=47198582,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:36.478, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8502, high=12,8502, low=12,8502, close=12,8502, adjustedClose=0,0, volume=47198716,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:48.662, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8502, high=12,8502, low=12,8502, close=12,8502, adjustedClose=0,0, volume=47198716,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:48.662, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8500, high=12,8500, low=12,8500, close=12,8500, adjustedClose=0,0, volume=47199736,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:59.420, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8500, high=12,8500, low=12,8500, close=12,8500, adjustedClose=0,0, volume=47199736,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:59.420, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47200111,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:09.435, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47200111,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:09.435, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47200365,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:16.628, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47200365,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:16.628, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8599, high=12,8599, low=12,8599, close=12,8599, adjustedClose=0,0, volume=47200392,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:21.039, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8599, high=12,8599, low=12,8599, close=12,8599, adjustedClose=0,0, volume=47200392,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:21.039, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47202143,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:38.580, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47202903,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:42.471, symbol=RGTI, percentageChange=0,0, target=0},
StockUnit{open=12,8600, high=12,8600, low=12,8600, close=12,8600, adjustedClose=0,0, volume=47202903,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:42.471, symbol=RGTI, percentageChange=0,0, target=0},
