[
StockUnit{open=137.95, high=137.96, low=137.94, close=137.95, adjustedClose=0.0, volume=1619, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:06:00}, 
StockUnit{open=137.96, high=137.96, low=137.94, close=137.95, adjustedClose=0.0, volume=2445, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:05:00}, 
StockUnit{open=137.96, high=137.96, low=137.94, close=137.94, adjustedClose=0.0, volume=5013, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:04:00}, 
StockUnit{open=137.96, high=137.96, low=137.95, close=137.96, adjustedClose=0.0, volume=6610, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:03:00}, 
StockUnit{open=137.96, high=137.96, low=137.95, close=137.96, adjustedClose=0.0, volume=2398, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:02:00}, 
StockUnit{open=137.96, high=137.96, low=137.95, close=137.955, adjustedClose=0.0, volume=2660, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:01:00}, 
StockUnit{open=137.97, high=137.97, low=137.95, close=137.97, adjustedClose=0.0, volume=2197, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 19:00:00}, 
StockUnit{open=137.96, high=137.97, low=137.96, close=137.965, adjustedClose=0.0, volume=2020, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:59:00}, 
StockUnit{open=137.98, high=137.98, low=137.95, close=137.97, adjustedClose=0.0, volume=2740, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:58:00}, 
StockUnit{open=137.975, high=137.98, low=137.97, close=137.98, adjustedClose=0.0, volume=524, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:57:00}, 
StockUnit{open=137.98, high=137.98, low=137.95, close=137.98, adjustedClose=0.0, volume=3825, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:56:00}, 
StockUnit{open=137.96, high=137.98, low=137.95, close=137.965, adjustedClose=0.0, volume=4584, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:55:00}, 
StockUnit{open=137.97, high=137.97, low=137.95, close=137.955, adjustedClose=0.0, volume=3242, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:54:00}, 
StockUnit{open=137.98, high=137.98, low=137.96, close=137.96, adjustedClose=0.0, volume=1616, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:53:00}, 
StockUnit{open=137.98, high=137.98, low=137.96, close=137.98, adjustedClose=0.0, volume=1072, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:52:00}, 
StockUnit{open=137.965, high=137.98, low=137.96, close=137.98, adjustedClose=0.0, volume=3602, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:51:00}, 
StockUnit{open=137.98, high=137.98, low=137.96, close=137.96, adjustedClose=0.0, volume=2767, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:50:00}, 
StockUnit{open=137.98, high=137.98, low=137.97, close=137.98, adjustedClose=0.0, volume=4120, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:49:00}, 
StockUnit{open=137.99, high=137.99, low=137.97, close=137.98, adjustedClose=0.0, volume=5933, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:48:00}, 
StockUnit{open=137.99, high=137.99, low=137.98, close=137.98, adjustedClose=0.0, volume=2209, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:47:00}, 
StockUnit{open=138.0, high=138.0, low=137.98, close=137.985, adjustedClose=0.0, volume=1190, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:46:00}, 
StockUnit{open=138.0, high=138.0, low=137.98, close=137.99, adjustedClose=0.0, volume=1690, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:45:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.9997, adjustedClose=0.0, volume=6182, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:44:00}, 
StockUnit{open=137.9901, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=5050, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:43:00}, 
StockUnit{open=137.99, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=1605, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:42:00}, 
StockUnit{open=137.995, high=138.0, low=137.99, close=137.995, adjustedClose=0.0, volume=2801, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:41:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=1661, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:40:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=1428, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:39:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=138.0, adjustedClose=0.0, volume=863, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:38:00}, 
StockUnit{open=138.0, high=138.0, low=137.99, close=137.99, adjustedClose=0.0, volume=610, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:37:00}, 
StockUnit{open=138.0, high=138.01, low=138.0, close=138.0, adjustedClose=0.0, volume=4886, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:36:00}, 
StockUnit{open=138.0, high=138.01, low=138.0, close=138.01, adjustedClose=0.0, volume=1837, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:35:00}, 
StockUnit{open=138.01, high=138.01, low=138.0, close=138.0, adjustedClose=0.0, volume=2499, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:34:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.01, adjustedClose=0.0, volume=1052, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:33:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.01, adjustedClose=0.0, volume=916, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:32:00}, 
StockUnit{open=138.01, high=138.02, low=138.01, close=138.0197, adjustedClose=0.0, volume=1263, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:31:00}, 
StockUnit{open=138.015, high=138.02, low=138.01, close=138.01, adjustedClose=0.0, volume=1658, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:30:00}, 
StockUnit{open=138.0, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=2530, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:29:00}, 
StockUnit{open=138.01, high=138.02, low=138.0, close=138.0, adjustedClose=0.0, volume=2435, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:28:00}, 
StockUnit{open=138.02, high=138.02, low=138.01, close=138.01, adjustedClose=0.0, volume=1527, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:27:00}, 
StockUnit{open=138.02, high=138.02, low=138.01, close=138.01, adjustedClose=0.0, volume=1891, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:26:00}, 
StockUnit{open=138.015, high=138.02, low=138.01, close=138.015, adjustedClose=0.0, volume=757, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:25:00}, 
StockUnit{open=138.01, high=138.02, low=138.01, close=138.02, adjustedClose=0.0, volume=865, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:24:00}, 
StockUnit{open=138.0, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=1156, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:23:00}, 
StockUnit{open=138.0, high=138.01, low=138.0, close=138.01, adjustedClose=0.0, volume=2833, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:22:00}, 
StockUnit{open=138.0, high=138.01, low=137.99, close=138.0, adjustedClose=0.0, volume=3373, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:21:00}, 
StockUnit{open=138.01, high=138.01, low=137.99, close=137.995, adjustedClose=0.0, volume=7021, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:20:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.005, adjustedClose=0.0, volume=2862, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:19:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.02, adjustedClose=0.0, volume=1869, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:18:00}, 
StockUnit{open=138.02, high=138.02, low=138.0, close=138.01, adjustedClose=0.0, volume=4437, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:17:00}, 
StockUnit{open=138.01, high=138.02, low=138.01, close=138.02, adjustedClose=0.0, volume=624, dividendAmount=0.0, splitCoefficient=0.0, date=2024-10-18 18:16:00}, 
