StockUnit{open=39,4140, high=39,4140, low=39,4140, close=39,4140, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:46.069, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4140, high=39,4140, low=39,4140, close=39,4140, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:46.069, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4140, high=39,4140, low=39,4140, close=39,4140, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:46.069, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4140, high=39,4140, low=39,4140, close=39,4140, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:03:46.069, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4393, high=39,4393, low=39,4393, close=39,4393, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:04.337, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4393, high=39,4393, low=39,4393, close=39,4393, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:04.337, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3676, high=39,3676, low=39,3676, close=39,3676, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:15.231, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3676, high=39,3676, low=39,3676, close=39,3676, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:15.231, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3183, high=39,3183, low=39,3183, close=39,3183, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:22.027, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3183, high=39,3183, low=39,3183, close=39,3183, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:22.027, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3100, high=39,3100, low=39,3100, close=39,3100, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:34.159, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,3100, high=39,3100, low=39,3100, close=39,3100, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:34.159, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4600, high=39,4600, low=39,4600, close=39,4600, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:41.064, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4600, high=39,4600, low=39,4600, close=39,4600, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:41.064, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4700, high=39,4700, low=39,4700, close=39,4700, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:57.443, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4700, high=39,4700, low=39,4700, close=39,4700, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:04:57.443, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4020, high=39,4020, low=39,4020, close=39,4020, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:08.458, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4020, high=39,4020, low=39,4020, close=39,4020, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:08.458, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4400, high=39,4400, low=39,4400, close=39,4400, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:21.054, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4400, high=39,4400, low=39,4400, close=39,4400, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:21.054, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4800, high=39,4800, low=39,4800, close=39,4800, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:27.831, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4950, high=39,4950, low=39,4950, close=39,4950, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:35.163, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4950, high=39,4950, low=39,4950, close=39,4950, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:35.163, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4400, high=39,4400, low=39,4400, close=39,4400, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:44.926, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4400, high=39,4400, low=39,4400, close=39,4400, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:44.926, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4440, high=39,4440, low=39,4440, close=39,4440, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:59.595, symbol=IONQ, percentageChange=0,0, target=0},
StockUnit{open=39,4440, high=39,4440, low=39,4440, close=39,4440, adjustedClose=0,0, volume=0,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-30 09:05:59.595, symbol=IONQ, percentageChange=0,0, target=0},
