[
StockUnit{open=320.4, high=320.5, low=320.375, close=320.45, adjustedClose=0.0, volume=936, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:59:00}, 
StockUnit{open=320.345, high=320.42, low=320.28, close=320.39, adjustedClose=0.0, volume=578, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:58:00}, 
StockUnit{open=320.3, high=320.37, low=320.28, close=320.37, adjustedClose=0.0, volume=1936, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:57:00}, 
StockUnit{open=320.26, high=320.33, low=320.26, close=320.3, adjustedClose=0.0, volume=665, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:56:00}, 
StockUnit{open=320.3205, high=320.34, low=320.26, close=320.264, adjustedClose=0.0, volume=1964, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:55:00}, 
StockUnit{open=320.34, high=320.35, low=320.3, close=320.325, adjustedClose=0.0, volume=3061, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:54:00}, 
StockUnit{open=320.37, high=320.37, low=320.32, close=320.35, adjustedClose=0.0, volume=2929, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:53:00}, 
StockUnit{open=320.44, high=320.44, low=320.36, close=320.4, adjustedClose=0.0, volume=3585, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:52:00}, 
StockUnit{open=320.485, high=320.52, low=320.4, close=320.44, adjustedClose=0.0, volume=1419, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:51:00}, 
StockUnit{open=320.55, high=320.55, low=320.44, close=320.45, adjustedClose=0.0, volume=586, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:50:00}, 
StockUnit{open=320.5, high=320.66, low=320.44, close=320.5, adjustedClose=0.0, volume=1530, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:49:00}, 
StockUnit{open=320.43, high=320.5, low=320.43, close=320.47, adjustedClose=0.0, volume=765, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:48:00}, 
StockUnit{open=320.51, high=320.51, low=320.43, close=320.43, adjustedClose=0.0, volume=1545, dividendAmount=0.0, splitCoefficient=0.0, date=2024-11-15 18:47:00}, 
