StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66378627,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:04.956, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66378627,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:04.956, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66378627,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:04.956, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66378627,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:04.956, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66378627,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:04.956, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66378636,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:32.100, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66378636,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:32.100, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66378706,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:44.489, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66378706,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:44.489, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3301, high=16,3301, low=16,3301, close=16,3301, adjustedClose=0,0, volume=66379203,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:53.395, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3301, high=16,3301, low=16,3301, close=16,3301, adjustedClose=0,0, volume=66379203,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:48:53.395, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66379840,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.165, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66379840,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:03.165, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66379848,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:10.319, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66379848,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:10.319, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3500, high=16,3500, low=16,3500, close=16,3500, adjustedClose=0,0, volume=66379848,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:10.319, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66379963,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:26.963, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3400, high=16,3400, low=16,3400, close=16,3400, adjustedClose=0,0, volume=66379963,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:26.963, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3202, high=16,3202, low=16,3202, close=16,3202, adjustedClose=0,0, volume=66380934,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:34.685, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3202, high=16,3202, low=16,3202, close=16,3202, adjustedClose=0,0, volume=66380934,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:34.685, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66381781,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:48.680, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66381781,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:48.680, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66382043,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:49:58.543, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3200, high=16,3200, low=16,3200, close=16,3200, adjustedClose=0,0, volume=66385443,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:06.659, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3200, high=16,3200, low=16,3200, close=16,3200, adjustedClose=0,0, volume=66385443,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:06.659, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3100, high=16,3100, low=16,3100, close=16,3100, adjustedClose=0,0, volume=66387408,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:17.965, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3100, high=16,3100, low=16,3100, close=16,3100, adjustedClose=0,0, volume=66387408,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:17.965, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3100, high=16,3100, low=16,3100, close=16,3100, adjustedClose=0,0, volume=66387408,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:17.965, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3299, high=16,3299, low=16,3299, close=16,3299, adjustedClose=0,0, volume=66387851,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:33.962, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3000, high=16,3000, low=16,3000, close=16,3000, adjustedClose=0,0, volume=66388352,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:37.615, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3000, high=16,3000, low=16,3000, close=16,3000, adjustedClose=0,0, volume=66388352,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:37.615, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66389107,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:47.275, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3300, high=16,3300, low=16,3300, close=16,3300, adjustedClose=0,0, volume=66389107,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:47.275, symbol=QBTS, percentageChange=0,0, target=0},
StockUnit{open=16,3100, high=16,3100, low=16,3100, close=16,3100, adjustedClose=0,0, volume=66389451,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:59.477, symbol=QBTS, percentageChange=0,0, target=0},
