StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39632762,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:50:51.550, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4001, high=12,4001, low=12,4001, close=12,4001, adjustedClose=0,0, volume=39633832,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:00.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4001, high=12,4001, low=12,4001, close=12,4001, adjustedClose=0,0, volume=39633832,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:00.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4001, high=12,4001, low=12,4001, close=12,4001, adjustedClose=0,0, volume=39633832,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:00.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4001, high=12,4001, low=12,4001, close=12,4001, adjustedClose=0,0, volume=39633832,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:00.291, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39633999,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:27.299, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39633999,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:27.299, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39633999,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:27.299, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39633999,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:27.299, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4300, high=12,4300, low=12,4300, close=12,4300, adjustedClose=0,0, volume=39633999,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:27.299, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634008,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:47.774, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634008,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:47.774, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634008,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:51:47.774, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4291, high=12,4291, low=12,4291, close=12,4291, adjustedClose=0,0, volume=39634055,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:08.654, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4291, high=12,4291, low=12,4291, close=12,4291, adjustedClose=0,0, volume=39634055,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:08.654, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634142,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:17.099, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634142,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:17.099, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634155,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:29.233, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39634155,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:29.233, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39635056,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:39.003, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39635056,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:39.003, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39635296,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:41.244, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4200, high=12,4200, low=12,4200, close=12,4200, adjustedClose=0,0, volume=39635296,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:41.244, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4203, high=12,4203, low=12,4203, close=12,4203, adjustedClose=0,0, volume=39635420,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:55.784, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4203, high=12,4203, low=12,4203, close=12,4203, adjustedClose=0,0, volume=39635420,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:52:55.784, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4295, high=12,4295, low=12,4295, close=12,4295, adjustedClose=0,0, volume=39635426,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:53:02.929, symbol=QUBT, percentageChange=0,0, target=0},
StockUnit{open=12,4295, high=12,4295, low=12,4295, close=12,4295, adjustedClose=0,0, volume=39635426,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-29 16:53:02.929, symbol=QUBT, percentageChange=0,0, target=0},
