StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761634,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:06.482, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761886,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:08.977, symbol=NVDA, percentageChange=0,0, target=0},
StockUnit{open=135,5000, high=135,5000, low=135,5000, close=135,5000, adjustedClose=0,0, volume=192761898,000, dividendAmount=0,0, splitCoefficient=0,0, date=2025-05-27 19:46:17.124, symbol=NVDA, percentageChange=0,0, target=0},
